Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
163,Derrick Rose\rosede01,DET,7317073.00 $,7682927.00 $,,,,,MLE,15000000.00 $
164,Brandon Ingram\ingrabr01,NOP,7265485.00 $,,,,,,1st Round pick,7265485.00 $
165,D.J. Augustin\augusdj01,ORL,7250000.00 $,,,,,,Cap Space,7250000.00 $
166,Darius Miller\milleda01,NOP,7250000.00 $,7000000.00 $,,,,,Early Bird Rights,7250000.00 $
167,De'Andre Hunter\huntede01,ATL,7068360.00 $,7422000.00 $,7775400.00 $,9835881.00 $,,,1st Round Pick,14490360.00 $
168,Josh Jackson\jacksjo02,MEM,7059480.00 $,,,,,,1st Round Pick,7059480.00 $
169,Dāvis Bertāns\bertada01,WAS,7000000.00 $,,,,,,Early Bird Rights,7000000.00 $
170,Ersan İlyasova\ilyaser01,MIL,7000000.00 $,7000000.00 $,,,,,MLE,7000000.00 $
171,Jaren Jackson\jacksja02,MEM,6927480.00 $,7257360.00 $,9180560.00 $,,,,1st Round Pick,14184840.00 $
172,DeMarre Carroll\carrode01,SAS,6842307.00 $,6167887.00 $,1252127.00 $,,,,,14262321.00 $
173,Nemanja Bjelica\bjeline01,SAC,6825000.00 $,7150000.00 $,,,,,Cap Space,6825000.00 $
174,Jaylen Brown\brownja02,BOS,6534829.00 $,22991071.00 $,24830357.00 $,26669643.00 $,28508929.00 $,,1st Round pick,109534829.00 $
175,Jabari Parker\parkeja01,SAC,6500000.00 $,6500000.00 $,,,,,Cap Space,6500000.00 $
176,Ivica Zubac\zubaciv01,LAC,6481482.00 $,7000000.00 $,7518518.00 $,7518518.00 $,,,Bird Rights,21000000.00 $
177,Joakim Noah\noahjo01,NYK,6431666.00 $,6431666.00 $,6431666.00 $,,,,,19294998.00 $
178,Darius Garland\garlada01,CLE,6400920.00 $,6720720.00 $,7040880.00 $,8920795.00 $,,,1st Round Pick,13121640.00 $
179,De'Aaron Fox\foxde01,SAC,6392760.00 $,8099627.00 $,,,,,1st Round Pick,14492387.00 $
180,Trae Young\youngtr01,ATL,6273000.00 $,6571800.00 $,8326471.00 $,,,,1st Round Pick,12844800.00 $
181,Montrezl Harrell\harremo01,LAC,6000000.00 $,,,,,,Bird Rights,6000000.00 $
182,Ish Smith\smithis01,WAS,5853659.00 $,6146341.00 $,,,,,MLE,12000000.00 $
183,Marco Belinelli\belinma01,SAS,5846154.00 $,,,,,,MLE,5846154.00 $
184,Jarrett Culver\culveja01,MIN,5813640.00 $,6104280.00 $,6395160.00 $,8109063.00 $,,,1st Round Pick,11917920.00 $
185,Jonathan Isaac\isaacjo01,ORL,5806440.00 $,7362566.00 $,,,,,1st Round Pick,13169006.00 $
186,Rodney Hood\hoodro01,POR,5718000.00 $,6003900.00 $,,,,,MLE,5718000.00 $
187,Mohamed Bamba\bambamo01,ORL,5697600.00 $,5969040.00 $,7568742.00 $,,,,1st Round Pick,11666640.00 $
188,Timofey Mozgov\mozgoti01,ORL,5573333.00 $,5573333.00 $,5573334.00 $,,,,,16720000.00 $
189,Trey Lyles\lylestr01,SAS,5500000.00 $,5500000.00 $,,,,,MLE,5500000.00 $
190,Deron Williams\willide01,BRK,5474787.00 $,,,,,,,5474787.00 $
191,Aron Baynes\baynear01,PHO,5453280.00 $,,,,,,Non-Bird Exception,5453280.00 $
192,Kris Dunn\dunnkr01,CHI,5348007.00 $,,,,,,1st Round pick,5348007.00 $
193,Josh Smith\smithjo03,DET,5331729.00 $,,,,,,,5331729.00 $
194,Coby White\whiteco01,CHI,5307120.00 $,5572680.00 $,5837760.00 $,7413955.00 $,,,1st Round Pick,10879800.00 $
195,Lauri Markkanen\markkla01,CHI,5300400.00 $,6731508.00 $,,,,,1st Round Pick,12031908.00 $
196,Ryan Anderson\anderry01,MIA,5214583.00 $,5214583.00 $,5214584.00 $,,,,,15643750.00 $
197,Wendell Carter\cartewe01,CHI,5201400.00 $,5448840.00 $,6920027.00 $,,,,1st Round Pick,10650240.00 $
198,Pau Gasol\gasolpa01,SAS,5100000.00 $,,,,,,,5100000.00 $
199,Daniel Theis\theisda01,BOS,5000000.00 $,5000000.00 $,,,,,Early Bird Rights,5000000.00 $
200,Luol Deng\denglu01,LAL,4990000.00 $,4990000.00 $,4990000.00 $,,,,,14970000.00 $
201,Jaxson Hayes\hayesja02,NOP,4862040.00 $,5105160.00 $,5348280.00 $,6803012.00 $,,,1st Round Pick,9967200.00 $
202,Buddy Hield\hieldbu01,SAC,4861208.00 $,24431818.00 $,22477273.00 $,20522727.00 $,18568182.00 $,,1st Round pick,90861208.00 $
203,Frank Ntilikina\ntilila01,NYK,4855800.00 $,6176578.00 $,,,,,1st Round Pick,11032378.00 $
