date, pm25, pm10, o3
2022/3/28, 32, , 
2022/3/29, 12, , 
2022/3/30, 13, , 
2022/3/31, 13, , 
2022/4/1, 14, , 
2022/2/2, 19, , 
2022/2/3, 12, , 
2022/2/4, 23, , 
2022/2/5, 35, , 
2022/2/6, 26, , 
2022/2/7, 62, , 
2022/2/8, 41, , 
2022/2/9, 59, , 
2022/2/10, 76, , 
2022/2/11, 69, , 
2022/2/12, 40, , 
2022/2/13, 23, , 
2022/2/14, 43, , 
2022/2/15, 11, , 
2022/2/16, 18, , 
2022/2/17, 19, , 
2022/2/18, 34, , 
2022/2/19, 63, , 
2022/2/20, 36, , 
2022/2/21, 9, , 
2022/2/22, 13, , 
2022/2/23, 24, , 
2022/2/24, 28, , 
2022/2/25, 45, , 
2022/2/26, 64, , 
2022/2/27, 86, , 
2022/2/28, 19, , 
2022/3/1, 7, , 
2022/1/4, 6, , 
2022/1/5, 8, , 
2022/1/6, 17, , 
2022/1/7, 6, , 
2022/1/8, 10, , 
2022/1/9, 27, , 
2022/1/10, 52, , 
2022/1/11, 49, , 
2022/1/12, 27, , 
2022/1/13, 21, , 
2022/1/14, 11, , 
2022/1/15, 35, , 
2022/1/16, 50, , 
2022/1/17, 42, , 
2022/1/18, 45, , 
2022/1/19, 25, , 
2022/1/20, 25, , 
2022/1/21, 11, , 
2022/1/22, 32, , 
2022/1/23, 48, , 
2022/1/24, 52, , 
2022/1/25, 48, , 
2022/1/26, 47, , 
2022/1/27, 57, , 
2022/1/28, 47, , 
2022/1/29, 64, , 
2022/1/30, 90, , 
2022/1/31, 58, , 
2022/2/1, 11, , 
2021/10/2, 31, , 26
2021/10/3, 36, , 21
2021/10/4, 28, , 3
2021/10/5, 48, , 
2021/10/6, 26, , 
2021/10/7, 17, , 
2021/10/8, 38, , 
2021/10/9, 38, , 
2021/10/10, 19, , 
2021/10/11, 12, , 
2021/10/12, 23, , 
2021/10/13, 26, , 
2021/10/14, 21, , 
2021/10/15, 17, , 
2021/10/16, 29, , 
2021/10/17, 42, , 
2021/10/18, 41, , 
2021/10/19, 19, , 
2021/10/20, 68, , 
2021/10/21, 32, , 
2021/10/22, 43, , 
2021/10/23, 18, , 
2021/10/24, 20, , 
2021/10/25, 25, , 
2021/10/26, 14, , 
2021/10/27, 18, , 
2021/10/28, 30, , 
2021/10/29, 20, , 
2021/10/30, 14, , 
2021/10/31, 21, , 
2021/11/1, 29, , 
2021/11/2, 37, , 
2021/11/3, 67, , 
2021/11/4, 66, , 
2021/11/5, 16, , 
2021/11/6, 20, , 
2021/11/7, 10, , 
2021/11/8, 8, , 
2021/11/9, 30, , 
2021/11/10, 17, , 
2021/11/11, 31, , 
2021/11/12, 8, , 
2021/11/13, 9, , 
