master_item_id,item_id,itemname,id,log_index,quantity,latitude,longitude,altitude,description,radius,manual_upload,project_id,project_name,timestamp,location,state,country,,,
1,2930,Plastic bag (Sac plastique),799371,23711,1,43.4964047,-1.5450971,69.5,,9.48900032,0,,,2.0201E+13,Anglet, Pyrénées-Atlantiques, France,,,
1,2930,Plastic bag (Sac plastique),799394,23711,1,43.4956689,-1.5453191,65.09999847,,10.07900047,0,,,2.0201E+13,Anglet, Pyrénées-Atlantiques, France,,,
1,2930,Plastic bag (Sac plastique),801435,23757,1,49.12395477,-125.9008865,5.729849339,,1414,0,,,2.02008E+13,Tofino, British Columbia, Canada,,,
1,2930,Plastic bag (Sac plastique),807776,23838,1,49.63484653,-1.85202116,50.34564209,,3.21600008,0,,,2.0201E+13,La Hague, Normandy, France,,,
1,2930,Plastic bag (Sac plastique),807794,23838,1,49.63443332,-1.84999671,62.22613525,,4.288000107,0,,,2.0201E+13,La Hague, Normandy, France,,,
1,2930,Plastic bag (Sac plastique),807795,23838,1,49.63443332,-1.84999671,62.22314453,,4.288000107,0,,,2.0201E+13,La Hague, Normandy, France,,,
1,2930,Plastic bag (Sac plastique),807797,23838,1,49.63443335,-1.84999677,62.2210083,,5.360000134,0,,,2.0201E+13,La Hague, Normandy, France,,,
1,2930,Plastic bag (Sac plastique),807798,23838,1,49.63443333,-1.84999678,62.2243042,,5.360000134,0,,,2.0201E+13,La Hague, Normandy, France,,,
1,2930,Plastic bag (Sac plastique),807799,23838,1,49.63443333,-1.84999678,62.2243042,,5.360000134,0,,,2.0201E+13,La Hague, Normandy, France,,,
1,2930,Plastic bag (Sac plastique),807800,23838,1,49.63443336,-1.84999677,62.22064209,,5.360000134,0,,,2.0201E+13,La Hague, Normandy, France,,,
1,2930,Plastic bag (Sac plastique),807892,23838,1,49.6344162,-1.85001614,58.47167969,,3.21600008,0,,,2.0201E+13,La Hague, Normandy, France,,,
1,2930,Plastic bag (Sac plastique),807893,23838,1,49.63441619,-1.85001616,58.47174072,,3.21600008,0,,,2.0201E+13,La Hague, Normandy, France,,,
1,2930,Plastic bag (Sac plastique),807904,23838,1,49.63441623,-1.85001636,58.47540283,,3.21600008,0,,,2.0201E+13,La Hague, Normandy, France,,,
1,2930,Plastic bag (Sac plastique),810752,23871,3,46.22966766,-1.547916532,-0.388025939,,65,0,,,2.0201E+13,La Rochelle, New Aquitaine, France,,,
1,2930,Plastic bag (Sac plastique),815660,23969,3,51.04689407,13.75692654,115.0604782,,65,0,,,2.0201E+13,Dresden, Saxony, Germany,,,
1,2930,Plastic bag (Sac plastique),815678,23970,23,47.8368988,-4.347194195,8.949489594,,10,0,,,2.0201E+13,Quimper, Brittany, France,,,
1,2930,Plastic bag (Sac plastique),822656,24188,1,43.02973938,2.979564905,3.579999924,,4332.150879,0,,,2.0201E+13,Sigean, Aude, France,,,
1,2930,Plastic bag (Sac plastique),824563,24226,5,43.00652313,3.057326555,1.80210197,,229.4093933,0,,,2.0201E+13,Port-la-Nouvelle, Aude, France,,,
1,2930,Plastic bag (Sac plastique),824653,24232,2,46.20786667,-1.023610473,12.52482605,,334.268158,0,,,2.02009E+13,La Rochelle, New Aquitaine, France,,,
1,2930,Plastic bag (Sac plastique),824797,24236,1,43.02515411,2.972459555,1.794938326,,1981.848877,0,,,2.0201E+13,Narbonne, Occitania, France,,,
1,2930,Plastic bag (Sac plastique),825640,24265,1,47.30041122,-2.532335997,0.004824562,,1113.507568,0,,,2.0201E+13,Saint-Nazaire, Pays de la Loire, France,,,
1,2930,Plastic bag (Sac plastique),826255,24275,1,43.8277808,5.7026158,613.5,,6.494999886,0,,,2.02011E+13,Forcalquier, Provence-Alpes-Côte d'Azur, France,,,
1,2930,Plastic bag (Sac plastique),847457,24761,5,44.82184219,-0.590724468,21.75393105,,65,0,,,2.02011E+13,Talence, Gironde, France,,,
1,2930,Plastic bag (Sac plastique),850812,24874,3,44.8205986,-0.588378012,21.77421761,,65,0,,,2.02011E+13,Talence, Gironde, France,,,
1,2930,Plastic bag (Sac plastique),852617,24912,1,46.20785522,-1.023619533,21.71403503,,65,0,,,2.02011E+13,La Rochelle, New Aquitaine, France,,,
1,2930,Plastic bag (Sac plastique),880515,25527,1,50.93199158,0.800801992,4.437840462,,65,0,,,2.02012E+13,Rother, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),880516,25527,1,50.93199158,0.800801992,4.437840462,,65,0,,,2.02012E+13,Rother, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),886068,25651,7,43.64524078,-1.445732594,4.211165905,,4.765633583,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886139,25652,1,43.6468811,-1.445184588,5.824584007,,4.747869492,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886146,25652,1,43.64686203,-1.445152521,6.411457062,,4.750499725,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886155,25652,1,43.64681625,-1.445116997,6.717580795,,4.759599686,0,,,2.02012E+13,Capbreton, Landes, France,,,
